Name,Price,Features,Ratings,Sentiments,Scaled_Ratings,Cluster
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,"₹56,990","15.6 Inch, Obsidian Black, 2.1 Kg",4.3,Positive,0.86,1
"SpinBot BattleMods X1 Gaming Trigger For PUBG,BGMI,COD,...",₹449,"Black, For Android, iOS",5.0,Positive,1.0,1
Colorful Evol P15 Intel Core i7 13th Gen 13620H - (16 G...,"₹83,990","15.6 Inch, Mist White, 2.4 Kg",4.5,Positive,0.9,1
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 1...,"₹49,990","15.6 inch, Graphite Black, 2.30 Kg, With MS Office",3.8,Negative,0.76,0
Lenovo LOQ AI Powered AMD Ryzen 7 Octa Core 7840HS - (1...,"₹99,490","15.6 Inch, Storm Grey, 2.4 kg, With MS Office",4.0,Positive,0.8,0
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹58,990","15.6 inch, Luna Grey, 2.38 kg",4.3,Positive,0.86,1
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 ...,"₹56,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.0,Positive,0.8,0
Acer Predator Helios Neo 16 Intel Core i7 14th Gen 1470...,"₹1,34,990","16 Inch, Abyssal Black, 2.8 Kg",4.5,Positive,0.9,1
Lenovo IdeaPad Gaming 3 Intel Core i7 12th Gen 12700H -...,"₹97,990","16 Inch, Onyx Grey, 2.6 Kg, With MS Office",4.5,Positive,0.9,1
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹56,990","15.6 Inch, Translucent Black, 1.98 Kg",4.6,Positive,0.9199999999999999,1
MSI Sword 16 HX Intel Core i9 13th Gen 13980HX - (32 GB...,"₹1,32,990","16 Inch, Cosmos Gray, 2.3 Kg, With MS Office",4.0,Positive,0.8,0
MSI Thin 15 Intel Core i5 12th Gen 13420H - (8 GB/512 G...,"₹53,990","15.6 Inch, Cosmos Grey, 1.86 Kg",0.0,Negative,0.0,2
Acer Aspire 7 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 ...,"₹59,500","15.6 Inch, Black, 2.15 kg",4.4,Positive,0.8800000000000001,1
ASUS TUF Gaming A16 Advantage Edition AMD Ryzen 7 Octa ...,"₹79,990","16 inch, Off Black, 2.20 Kg",5.0,Positive,1.0,1
MOBIKAMA Combo Pack of Touch smoothly Run Finger Sleeve...,₹170,"Multicolor, For Mac OS",3.9,Negative,0.78,0
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (12 GB/512 GB...,"₹54,990","15.6 Inch, Luna Grey, 2.38 Kg, With MS Office",4.4,Positive,0.8800000000000001,1
MSI Katana A15 AI AMD Ryzen 7 Octa Core 8845HS - (16 GB...,"₹96,990","15.6 Inch, Black, 2.25 Kg",4.4,Positive,0.8800000000000001,1
SpinBot Super Conductive Silver-Cloth Mobile Gaming Fin...,₹299,"Grey, For Android, iOS",3.6,Negative,0.7200000000000001,0
SpinBot BattleMods Argo Six Finger Claw Control with 4 ...,₹784,"Black, For Android, iOS",4.0,Positive,0.8,0
"Elixora IceStorm RGB Gaming Phone Cooler , Silent Cooli...","₹1,419","Multicolor, For Android, iOS",3.8,Negative,0.76,0
Lenovo Legion 5 Intel Core i7 13th Gen 13650HX - (24 GB...,"₹1,12,990","15.6 Inch, Storm Grey, 2.32 Kg, With MS Office",4.6,Positive,0.9199999999999999,1
GIGABYTE G Series Intel Core i5 13th Gen 13500H - (16 G...,"₹72,990","15.6 inch, Black, 2.08 Kg",5.0,Positive,1.0,1
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (3...,"₹1,69,990","16 Inch, Cosmos Gray, 2.5 Kg",4.5,Positive,0.9,1
MSI Sword 16 HX Intel Core i7 14th Gen 14700HX - (16 GB...,"₹1,17,990","16 Inch, Cosmos Gray, 2.3 Kg",4.7,Positive,0.9400000000000001,1
MSI Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/W...,"₹82,990","15.6 Inch, Black, 1.86 Kg",4.5,Positive,0.9,1
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (1...,"₹1,39,990","16 Inch, Cosmos Gray, 2.5 Kg",4.6,Positive,0.9199999999999999,1
HP Victus AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB ...,"₹87,990","15.6 Inch, Performance Blue, 2.29 Kg",4.0,Positive,0.8,0
ASUS ROG Strix G16 with 90WHr Battery Intel HX-Series I...,"₹1,59,990","16 Inch, Gray, 2.50 Kg, With MS Office",4.4,Positive,0.8800000000000001,1
MSI Sword 16 HX Intel Core i7 13th Gen 13700HX - (16 GB...,"₹1,07,990","16 Inch, Cosmos Gray, 2.3 Kg, With MS Office",4.7,Positive,0.9400000000000001,1
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 ...,"₹83,990","15.6 Inch, Mecha Gray, 2.20 Kg",4.5,Positive,0.9,1
"ASUS ROG Zephyrus G16 (2024) - AI PC, with 90W battery,...","₹2,49,990","16 Inch, Platinum White, 1.85 Kg, With MS Office",0.0,Negative,0.0,2
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹50,990","15.6 Inch, Charcoal Black, 2.1 Kg",4.1,Positive,0.82,0
ASUS TUF Gaming F15 with 90WHr Battery Intel Core i5 11...,"₹72,990","15.6 Inch, Graphite Black, 2.30 Kg",4.4,Positive,0.8800000000000001,1
TooHype Shooter Controller Gaming Trigger Fire Free But...,₹189,"Black, Red, For Android, iOS",3.6,Negative,0.7200000000000001,0
PORTLIX Finger Sleeve For PUBG/FREE FIRE/CALL OF DUTY a...,₹150,"Black&Blue, For Android, iOS",4.1,Positive,0.82,0
Lenovo LOQ AI Powered AMD Ryzen 7 Octa Core 7840HS - (1...,"₹75,990","15.6 Inch, Storm Grey, 2.4 kg, With MS Office",4.2,Positive,0.8400000000000001,0
Lenovo LOQ AI Powered AMD Ryzen 7 Octa Core 7840HS - (1...,"₹1,09,990","15.6 Inch, Storm Grey, 2.4 kg, With MS Office",4.0,Positive,0.8,0
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 ...,"₹59,900","15.6 Inch, Graphite Black, 2.30 Kg, With MS Office",4.0,Positive,0.8,0
Aced M2 PUBG Triggers for Mobile Gaming for BGMI/Free F...,₹798,"Black, For Android, iOS",3.9,Negative,0.78,0
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,"₹56,990","15.6 Inch, Obsidian Black, 2.1 Kg",4.3,Positive,0.86,1
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 ...,"₹55,990","15.6 Inch, Graphite Black, 2.30 Kg",4.4,Positive,0.8800000000000001,1
Elixora F1 RGB Gaming Phone Cooler - Silent 0° Cooler f...,"₹1,159","Black, For Android, iOS",3.5,Negative,0.7000000000000001,0
"MJ Hub Pubg Anti-Slip Thumb Sleeve, Slip-Proof Sweat-Pr...",₹149,"Black, For Android, iOS",3.5,Negative,0.7000000000000001,0
nihit PUBG Shooter Controller Gaming Trigger Fire Free ...,₹299,"Red, Black, For Android, iOS",4.2,Positive,0.8400000000000001,0
MSI Katana GF66 Intel Core i7 12th Gen 12650H - (8 GB/5...,"₹84,990","15.6 Inch, Black, 2.25 Kg",4.4,Positive,0.8800000000000001,1
"Aliens Mobile Cooler Gaming Fan, Applicable Mobile Phon...",₹854,"Yellow, For Android, iOS",5.0,Positive,1.0,1
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹58,990","15.6 inch, Luna Grey, 2.38 kg",4.3,Positive,0.86,1
WRADER High Quality Finger Sleeves with Pouch for Free ...,₹200,"Black & Blue, For Android, iOS",3.6,Negative,0.7200000000000001,0
"Cubonic AK02 PUBG Mobile Controller, Game Trigger Fire ...","₹1,199","Greyish Blue, For Android, iOS",3.7,Negative,0.7400000000000001,0
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 ...,"₹56,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.0,Positive,0.8,0
We Desi Stuff Gta Mousepad | Gaming Mousepad Mousepad,₹211,Multicolor,4.0,Positive,0.8,0
ASUS Vivobook Pro 15 OLED Intel Core i5 12th Gen 12450H...,"₹84,795","15.6 Inch, Quiet Blue, 1.80 kg, With MS Office",4.4,Positive,0.8800000000000001,1
"ASUS Vivobook Pro 16 OLED For Creator, Intel H-Series I...","₹1,35,990","16 Inch, Quiet Blue, 1.90 Kg, With MS Office",4.2,Positive,0.8400000000000001,0
"Zusix F-25 Mobile Radiator Cooling Fan, Semiconductor T...",₹963,"Black, For Android, iOS",3.4,Negative,0.68,0
Spinfluencs Shoot/Aim Buttons R1 L1 Mobile Gaming Trigg...,₹190,"Black, For Android, iOS",3.8,Negative,0.76,0
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹56,990","15.6 Inch, Translucent Black, 1.98 Kg",4.6,Positive,0.9199999999999999,1
AMD Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cor...,"₹12,439",Grey,4.5,Positive,0.9,1
"TEWENT Pubg Anti-Slip Thumb Sleeve, Slip-Proof Sweat-Pr...",₹149,"Black, For iOS, Android",3.9,Negative,0.78,0
