Name,Price,Features,Ratings,Sentiments
Lenovo LOQ AI Powered AMD Ryzen 7 Octa Core 7840HS - (1...,"₹1,09,990","15.6 Inch, Storm Grey, 2.4 kg, With MS Office",4.0,Positive
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 ...,"₹59,900","15.6 Inch, Graphite Black, 2.30 Kg, With MS Office",4.0,Positive
Aced M2 PUBG Triggers for Mobile Gaming for BGMI/Free F...,₹798,"Black, For Android, iOS",3.9,Negative
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,"₹56,990","15.6 Inch, Obsidian Black, 2.1 Kg",4.3,Positive
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 ...,"₹55,990","15.6 Inch, Graphite Black, 2.30 Kg",4.4,Positive
Elixora F1 RGB Gaming Phone Cooler - Silent 0° Cooler f...,"₹1,159","Black, For Android, iOS",3.5,Negative
"MJ Hub Pubg Anti-Slip Thumb Sleeve, Slip-Proof Sweat-Pr...",₹149,"Black, For Android, iOS",3.5,Negative
nihit PUBG Shooter Controller Gaming Trigger Fire Free ...,₹299,"Red, Black, For Android, iOS",4.2,Positive
MSI Katana GF66 Intel Core i7 12th Gen 12650H - (8 GB/5...,"₹84,990","15.6 Inch, Black, 2.25 Kg",4.4,Positive
"Aliens Mobile Cooler Gaming Fan, Applicable Mobile Phon...",₹854,"Yellow, For Android, iOS",5.0,Positive
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹58,990","15.6 inch, Luna Grey, 2.38 kg",4.3,Positive
WRADER High Quality Finger Sleeves with Pouch for Free ...,₹200,"Black & Blue, For Android, iOS",3.6,Negative
"Cubonic AK02 PUBG Mobile Controller, Game Trigger Fire ...","₹1,199","Greyish Blue, For Android, iOS",3.7,Negative
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 ...,"₹56,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.0,Positive
We Desi Stuff Gta Mousepad | Gaming Mousepad Mousepad,₹211,Multicolor,4.0,Positive
ASUS Vivobook Pro 15 OLED Intel Core i5 12th Gen 12450H...,"₹84,795","15.6 Inch, Quiet Blue, 1.80 kg, With MS Office",4.4,Positive
"ASUS Vivobook Pro 16 OLED For Creator, Intel H-Series I...","₹1,35,990","16 Inch, Quiet Blue, 1.90 Kg, With MS Office",4.2,Positive
"Zusix F-25 Mobile Radiator Cooling Fan, Semiconductor T...",₹963,"Black, For Android, iOS",3.4,Negative
Spinfluencs Shoot/Aim Buttons R1 L1 Mobile Gaming Trigg...,₹190,"Black, For Android, iOS",3.8,Negative
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹56,990","15.6 Inch, Translucent Black, 1.98 Kg",4.6,Positive
AMD Ryzen 5 5600G 3.9 GHz Upto 4.4 GHz AM4 Socket 6 Cor...,"₹12,439",Grey,4.5,Positive
"TEWENT Pubg Anti-Slip Thumb Sleeve, Slip-Proof Sweat-Pr...",₹149,"Black, For iOS, Android",3.9,Negative
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core AMD R5-56...,"₹47,990","15.6 inch, Shadow Black, 2.25 kg",4.4,Positive
"Cubonic Magnetic Phone Cooler Fan, RGB Portable Radiato...","₹1,199","Black, For Android, iOS",4.1,Positive
"Elixora IceStorm RGB Gaming Phone Cooler , Silent Cooli...","₹1,419","Multicolor, For Android, iOS",3.8,Negative
Cubonic AK02 PUBG Mobile Gaming wireless Controller For...,₹976,"Greyish Blue, For Android, iOS",3.3,Negative
Mukul Pubg seleevs  Gaming Accessory Kit,₹195,"Black, For Android, iOS",3.4,Negative
"Zusix SL-01 Mobile Radiator Cooling Fan, Semiconductor ...","₹1,103","Black, For Android, iOS",3.5,Negative
WRADER High Quality Finger Sleeves with Pouch for Free ...,₹499,"Black, For Android, iOS",4.7,Positive
MSI Sword 16 HX Intel Core i9 13th Gen 13980HX - (32 GB...,"₹1,32,990","16 Inch, Cosmos Gray, 2.3 Kg, With MS Office",4.0,Positive
Bestor Dual-Sided Multifunctional Desk Pad For PC/LAPTO...,₹699,Silver&Grey,4.5,Positive
